"Date";"District";"Ag_Neg";"Ag_Pos";"Total"
2020-10-23;"Okres Brezno";99;22;121
2020-10-23;"Okres Čadca";0;0;0
2020-10-23;"Okres Dolný Kubín";33;6;39
2020-10-23;"Okres Dunajská Streda";1;0;1
2020-10-23;"Okres Galanta";5;0;5
2020-10-23;"Okres Humenné";0;0;0
2020-10-23;"Okres Kežmarok";28;0;28
2020-10-23;"Okres Komárno";38;0;38
2020-10-23;"Okres Košice I";0;0;0
2020-10-23;"Okres Košice II";270;4;274
2020-10-23;"Okres Košice IV";0;0;0
2020-10-23;"Okres Levice";428;32;460
2020-10-23;"Okres Liptovský Mikuláš";17;1;18
2020-10-23;"Okres Lučenec";19;0;19
2020-10-23;"Okres Malacky";0;0;0
2020-10-23;"Okres Martin";14;2;16
2020-10-23;"Okres Michalovce";17;2;19
2020-10-23;"Okres Myjava";0;0;0
2020-10-23;"Okres Nitra";285;8;293
2020-10-23;"Okres Nové Mesto nad Váhom";0;0;0
2020-10-23;"Okres Partizánske";10;2;12
2020-10-23;"Okres Pezinok";15;3;18
2020-10-23;"Okres Piešťany";61;2;63
2020-10-23;"Okres Poprad";144;5;149
2020-10-23;"Okres Prešov";14;0;14
2020-10-23;"Okres Prievidza";38;4;42
2020-10-23;"Okres Revúca";9;1;10
2020-10-23;"Okres Rimavská Sobota";20;6;26
2020-10-23;"Okres Rožňava";6;1;7
2020-10-23;"Okres Ružomberok";0;0;0
2020-10-23;"Okres Skalica";22;2;24
2020-10-23;"Okres Snina";0;0;0
2020-10-23;"Okres Spišská Nová Ves";38;1;39
2020-10-23;"Okres Stará Ľubovňa";18;1;19
2020-10-23;"Okres Topoľčany";0;0;0
2020-10-23;"Okres Trebišov";0;0;0
2020-10-23;"Okres Trenčín";106;2;108
2020-10-23;"Okres Zlaté Moravce";11;1;12
2020-10-23;"Okres Zvolen";63;0;63
2020-10-23;"Okres Žiar nad Hronom";0;0;0
2020-10-23;"Okres Žilina";38;4;42
2020-10-23;NA;12;0;12
2020-10-24;"Okres Banská Bystrica";23;1;24
2020-10-24;"Okres Bardejov";15;1;16
2020-10-24;"Okres Bratislava I";0;1;1
2020-10-24;"Okres Bratislava II";120;3;123
2020-10-24;"Okres Bratislava III";21;1;22
2020-10-24;"Okres Bratislava V";1;0;1
2020-10-24;"Okres Čadca";0;0;0
2020-10-24;"Okres Dolný Kubín";0;0;0
2020-10-24;"Okres Dunajská Streda";3;0;3
2020-10-24;"Okres Galanta";2;0;2
2020-10-24;"Okres Humenné";0;0;0
2020-10-24;"Okres Komárno";10;0;10
2020-10-24;"Okres Košice I";0;0;0
2020-10-24;"Okres Košice II";30;7;37
2020-10-24;"Okres Levoča";16;0;16
2020-10-24;"Okres Liptovský Mikuláš";0;0;0
2020-10-24;"Okres Lučenec";8;3;11
2020-10-24;"Okres Malacky";0;0;0
2020-10-24;"Okres Michalovce";8;7;15
2020-10-24;"Okres Myjava";0;2;2
2020-10-24;"Okres Nitra";215;10;225
2020-10-24;"Okres Nové Mesto nad Váhom";0;0;0
2020-10-24;"Okres Partizánske";3;0;3
2020-10-24;"Okres Pezinok";79;1;80
2020-10-24;"Okres Piešťany";86;2;88
2020-10-24;"Okres Poprad";144;6;150
2020-10-24;"Okres Prievidza";19;2;21
2020-10-24;"Okres Revúca";12;1;13
2020-10-24;"Okres Rimavská Sobota";35;7;42
2020-10-24;"Okres Rožňava";5;1;6
2020-10-24;"Okres Ružomberok";0;0;0
2020-10-24;"Okres Skalica";18;0;18
2020-10-24;"Okres Snina";0;0;0
2020-10-24;"Okres Spišská Nová Ves";75;1;76
2020-10-24;"Okres Stará Ľubovňa";25;5;30
2020-10-24;"Okres Svidník";0;0;0
2020-10-24;"Okres Topoľčany";1;0;1
2020-10-24;"Okres Trebišov";0;0;0
2020-10-24;"Okres Trenčín";106;2;108
2020-10-24;"Okres Zlaté Moravce";11;1;12
2020-10-24;"Okres Zvolen";36;0;36
2020-10-24;"Okres Žiar nad Hronom";0;0;0
2020-10-24;NA;2;0;2
2020-10-25;"Okres Banská Bystrica";22;2;24
2020-10-25;"Okres Bratislava I";0;0;0
2020-10-25;"Okres Bratislava II";1;0;1
2020-10-25;"Okres Bratislava III";12;2;14
2020-10-25;"Okres Bratislava V";2;0;2
2020-10-25;"Okres Čadca";0;0;0
2020-10-25;"Okres Dolný Kubín";0;0;0
2020-10-25;"Okres Dunajská Streda";1;0;1
2020-10-25;"Okres Galanta";2;0;2
2020-10-25;"Okres Humenné";0;0;0
2020-10-25;"Okres Komárno";10;0;10
2020-10-25;"Okres Košice I";0;0;0
2020-10-25;"Okres Košice II";3;0;3
2020-10-25;"Okres Levoča";16;0;16
2020-10-25;"Okres Liptovský Mikuláš";0;0;0
2020-10-25;"Okres Lučenec";7;1;8
2020-10-25;"Okres Malacky";0;0;0
2020-10-25;"Okres Michalovce";5;0;5
2020-10-25;"Okres Myjava";1;3;4
2020-10-25;"Okres Nitra";30;6;36
2020-10-25;"Okres Nové Mesto nad Váhom";0;0;0
2020-10-25;"Okres Partizánske";3;1;4
2020-10-25;"Okres Pezinok";18;0;18
2020-10-25;"Okres Piešťany";16;1;17
2020-10-25;"Okres Poprad";318;8;326
2020-10-25;"Okres Prievidza";0;0;0
2020-10-25;"Okres Revúca";11;0;11
2020-10-25;"Okres Rimavská Sobota";100;8;108
2020-10-25;"Okres Rožňava";4;0;4
2020-10-25;"Okres Ružomberok";0;0;0
2020-10-25;"Okres Skalica";0;0;0
2020-10-25;"Okres Snina";0;0;0
2020-10-25;"Okres Spišská Nová Ves";67;2;69
2020-10-25;"Okres Stará Ľubovňa";12;3;15
2020-10-25;"Okres Svidník";0;0;0
2020-10-25;"Okres Topoľčany";0;0;0
2020-10-25;"Okres Trebišov";0;0;0
2020-10-25;"Okres Trenčín";5;1;6
2020-10-25;"Okres Zlaté Moravce";22;2;24
2020-10-25;"Okres Zvolen";0;0;0
2020-10-25;"Okres Žiar nad Hronom";0;0;0
2020-10-25;NA;1;0;1
2020-10-26;"Okres Banská Bystrica";23;4;27
2020-10-26;"Okres Bardejov";26;5;31
2020-10-26;"Okres Bratislava I";10;3;13
2020-10-26;"Okres Bratislava II";147;2;149
2020-10-26;"Okres Bratislava III";9;2;11
2020-10-26;"Okres Bratislava IV";20;0;20
2020-10-26;"Okres Bratislava V";16;3;19
2020-10-26;"Okres Brezno";109;23;132
2020-10-26;"Okres Čadca";0;0;0
2020-10-26;"Okres Dolný Kubín";45;3;48
2020-10-26;"Okres Dunajská Streda";13;1;14
2020-10-26;"Okres Galanta";3;0;3
