nazov;datum;kraj;okres;obec;kod_pzs;non-O2_obs;non-O2_rel-obs;non-O2_volne;non-O2_max;O2_obs;O2_rel-obs;O2_volne;O2_max;JIS1_obs;JIS1_rel-obs;JIS1_volne;JIS1_max;JIS2_obs;JIS2_rel-obs;JIS2_volne;JIS2_max;JIS3_obs;JIS3_rel-obs;JIS3_volne;JIS3_max;OAIM_obs;OAIM_rel-obs;OAIM_volne;OAIM_max;spolu_obs;spolu_rel-obs;spolu_volne;spolu_max
FNsP Nové Zámky;2020-11-13;Nitriansky kraj;Okres Nové Zámky;Nové Zámky;P81095025101;32;0.250000;7;128;21;0.420000;4;50;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;5;5;8;0.888889;1;9;61;0.317708;17;192
FNsP Skalica;2020-11-13;Trnavský kraj;Okres Skalica;Skalica;P81264051101;9;0.391304;14;23;12;0.571429;9;21;0;0.000000;0;3;0;0.000000;0;0;0;0.000000;0;0;3;0.500000;3;6;24;0.452830;26;53
FNsP Žilina;2020-11-13;Žilinský kraj;Okres Žilina;Žilina;N92725025101;10;0.135135;22;74;48;0.585366;17;82;0;0.000000;0;0;0;0.000000;0;0;8;0.800000;2;10;0;0.000000;0;0;66;0.397590;41;166
HONsP Trstená;2020-11-13;Žilinský kraj;Okres Tvrdošín;Trstená;P46405010101;0;0.000000;0;0;15;0.375000;23;40;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;3;1.000000;0;3;18;0.409091;24;44
KNsP Čadca;2020-11-13;Žilinský kraj;Okres Čadca;Čadca;N21149004101;35;0.795455;9;44;28;0.777778;8;36;4;1.000000;0;4;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;68;0.790698;18;86
LNsP MUDr. I. Stodolu Liptovský Mikuláš;2020-11-13;Žilinský kraj;Okres Liptovský Mikuláš;Liptovský Mikuláš;P66051013101;0;0.000000;0;0;12;0.315789;26;38;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;0;0;2;0.666667;1;3;14;0.333333;28;42
Ľubovnianska nemocnica, Stará Ľubovňa;2020-11-13;Prešovský kraj;Okres Stará Ľubovňa;Stará Ľubovňa;N56229010101;0;0.000000;6;6;19;0.678571;9;28;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;3;0.750000;1;4;22;0.578947;16;38
N. A. Wintera, Piešťany;2020-11-13;Trnavský kraj;Okres Piešťany;Piešťany;P93083009101;12;0.600000;8;20;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;3;3;0;0.000000;0;0;12;0.521739;11;23
N. arm. g. L. Svobodu Svidník;2020-11-13;Prešovský kraj;Okres Svidník;Svidník;P97554001101;5;0.500000;5;10;10;0.500000;10;20;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.250000;3;4;16;0.470588;18;34
Nemocnica A. Leňa Humenné;2020-11-13;Prešovský kraj;Okres Humenné;Humenné;P27233192101;21;0.777778;6;27;6;0.750000;2;8;6;0.600000;4;10;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;34;0.723404;13;47
Nemocnica Poprad;2020-11-13;Prešovský kraj;Okres Poprad;Poprad;N22001198101;0;0.000000;0;0;16;0.347826;22;46;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;3;0.500000;1;6;21;0.375000;25;56
Nemocnica Snina;2020-11-13;Prešovský kraj;Okres Snina;Snina;N80847192101;16;1.000000;0;16;6;0.500000;6;12;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;22;0.733333;8;30
NnoM Partizánske;2020-11-13;Trenčiansky kraj;Okres Partizánske;Partizánske;P63800205101;6;0.428571;8;14;6;0.600000;4;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;0.666667;0;3;14;0.518519;12;27
NRC Kováčová;2020-11-13;Banskobystrický kraj;Okres Zvolen;Kováčová;N55966027101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP Brezno;2020-11-13;Banskobystrický kraj;Okres Brezno;Brezno;N22399201101;16;1.000000;0;16;4;1.000000;0;4;1;1.000000;0;1;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;22;1.000000;0;22
Nsp Dunajská Streda;2020-11-13;Trnavský kraj;Okres Dunajská Streda;Dunajská Streda;P51102199101;8;0.800000;2;10;18;1.000000;0;18;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;0;0.000000;0;0;28;0.933333;2;30
NsP Ilava;2020-11-13;Trenčiansky kraj;Okres Ilava;Ilava;P87119205101;6;0.428571;8;14;2;0.333333;4;6;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;8;0.400000;12;20
NsP Myjava;2020-11-13;Trenčiansky kraj;Okres Myjava;Myjava;P82987007101;0;0.000000;18;18;10;0.454545;12;22;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.250000;3;4;11;0.250000;33;44
NsP Považská Bystrica;2020-11-13;Trenčiansky kraj;Okres Považská Bystrica;Považská Bystrica;P50945196101;5;0.037037;40;135;55;1.000000;0;55;0;0.000000;0;0;0;0.000000;3;3;1;0.250000;3;4;4;0.666667;2;6;65;0.320197;48;203
NsP Prievidza so s. v Bojniciach;2020-11-13;Trenčiansky kraj;Okres Prievidza;Bojnice;P51373009101;18;0.600000;12;30;23;0.920000;2;25;0;0.000000;2;2;0;0.000000;0;0;3;0.750000;1;4;0;0.000000;0;0;44;0.721311;17;61
NsP Š. Kukuru Michalovce;2020-11-13;Košický kraj;Okres Michalovce;Michalovce;P66599002101;2;0.166667;10;12;20;0.487805;21;41;4;1.000000;0;4;0;0.000000;0;0;0;0.000000;0;0;4;0.500000;0;8;30;0.461538;31;65
NsP Spišská Nová Ves;2020-11-13;Košický kraj;Okres Spišská Nová Ves;Spišská Nová Ves;P36605013101;2;0.052632;11;38;20;0.833333;4;24;0;0.000000;0;1;0;0.000000;0;1;2;1.000000;0;2;0;0.000000;0;0;24;0.363636;15;66
NsP sv. Jakuba Bardejov;2020-11-13;Prešovský kraj;Okres Bardejov;Bardejov;N84209025101;1;0.250000;3;4;20;0.500000;20;40;1;0.250000;3;4;3;1.000000;0;3;0;0.000000;0;0;3;0.750000;1;4;28;0.509091;27;55
NsP sv. Lukáša Galanta;2020-11-13;Trnavský kraj;Okres Galanta;Galanta;P80747196101;0;0.000000;0;23;11;0.611111;6;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;3;1.000000;0;3;14;0.318182;6;44
NsP Trebišov;2020-11-13;Košický kraj;Okres Trebišov;Trebišov;P81577014101;13;0.371429;22;35;9;0.900000;1;10;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;0;0.000000;0;0;23;0.500000;23;46
NÚDCH Bratislava;2020-11-13;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P43059323101;0;0.000000;0;0;0;0.000000;24;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;10;10;0;0.000000;34;34
NÚSCH Bratislava;2020-11-13;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P70249278103;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NÚTPCHaHCH Vyšné Hágy;2020-11-13;Prešovský kraj;Okres Poprad;Vysoké Tatry;N92999012101;0;0.000000;0;0;20;0.714286;8;28;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;1;1.000000;0;1;22;0.709677;9;31
OÚ sv. Alžbety Bratislava;2020-11-13;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P31683229101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. P. Pinela Pezinok;2020-11-13;Bratislavský kraj;Okres Pezinok;Pezinok;P56642005101;0;0.000000;45;45;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;45;45
Psych. n. prof. Matulaya Kremnica;2020-11-13;Banskobystrický kraj;Okres Žiar nad Hronom;Kremnica;N27005105102;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. Veľké Zálužie;2020-11-13;Nitriansky kraj;Okres Nitra;Veľké Zálužie;P19393005101;83;1.000000;0;83;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;83;1.000000;0;83
SÚSÚSCCH Banská Bystrica;2020-11-13;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;P35968069101;0;0.000000;0;0;2;0.153846;11;13;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;13;13;2;0.071429;26;28
Svet zdravia Rimavská Sobota;2020-11-13;Banskobystrický kraj;Okres Rimavská Sobota;Rimavská Sobota;P83216196102;0;0.000000;12;12;16;0.666667;8;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;16;0.421053;22;38
Svet zdravia Topoľčany;2020-11-13;Nitriansky kraj;Okres Topoľčany;Topoľčany;P59688205101;0;0.000000;14;14;7;0.583333;5;12;2;1.000000;0;2;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;11;0.366667;19;30
Svet zdravia Žiar nad Hronom;2020-11-13;Banskobystrický kraj;Okres Žiar nad Hronom;Žiar nad Hronom;P83216007101;0;0.000000;0;0;10;0.555556;8;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;11;0.578947;8;19
UN L. Pasteura Košice;2020-11-13;Košický kraj;Okres Košice IV;Košice - Juh;P77017002101;0;0.000000;3;3;42;0.396226;64;106;6;0.666667;3;9;7;0.700000;3;10;0;0.000000;2;2;6;0.352941;11;17;61;0.414966;86;147
UN Martin;2020-11-13;Žilinský kraj;Okres Martin;Martin;P38811002101;0;0.000000;11;25;61;0.586538;24;104;0;0.000000;0;0;7;0.350000;7;20;8;0.666667;4;12;0;0.000000;1;1;76;0.469136;47;162
UNB - akad. L. Dérera;2020-11-13;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P40707002101;0;0.000000;12;12;43;0.417476;16;103;0;0.000000;0;0;6;0.400000;0;15;0;0.000000;0;0;5;1.000000;0;5;54;0.400000;28;135
UNB - Ružinov;2020-11-13;Bratislavský kraj;Okres Bratislava II;Bratislava - Ružinov;P40707025101;0;0.000000;0;0;17;0.414634;4;41;4;0.400000;1;10;2;0.400000;0;5;0;0.000000;0;0;5;0.312500;0;16;28;0.388889;5;72
UNB - Staré Meso;2020-11-13;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P40707025106;10;1.000000;0;10;0;0.000000;3;10;0;0.000000;0;0;0;0.000000;3;3;0;0.000000;0;1;0;0.000000;0;0;10;0.416667;6;24
UNB - sv. Cyrila a Metoda;2020-11-13;Bratislavský kraj;Okres Bratislava V;Bratislava - Petržalka;P40707025104;0;0.000000;0;0;7;0.700000;3;10;0;0.000000;0;0;1;0.333333;2;3;0;0.000000;0;3;2;0.666667;1;3;10;0.526316;6;19
ÚVN SNP Ružomberok;2020-11-13;Žilinský kraj;Okres Ružomberok;Ružomberok;P91151002101;22;0.500000;22;44;17;0.303571;39;56;0;0.000000;5;5;0;0.000000;0;0;5;0.312500;7;16;0;0.000000;0;0;44;0.363636;73;121
VOÚ Košice;2020-11-13;Košický kraj;Okres Košice IV;Košice - Juh;P76995046101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Vranovská nemocnica, Vranov nad Topľou;2020-11-13;Prešovský kraj;Okres Vranov nad Topľou;Vranov nad Topľou;P02824196101;0;0.000000;13;13;21;0.583333;15;36;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;23;0.450980;28;51
VšNsP Lučenec;2020-11-13;Banskobystrický kraj;Okres Lučenec;Lučenec;N50139002101;0;0.000000;36;36;17;0.278689;44;61;0;0.000000;0;0;0;0.000000;0;0;2;0.400000;3;5;0;0.000000;0;0;19;0.186275;83;102
VÚSCH Košice;2020-11-13;Košický kraj;Okres Košice II;Košice - Západ;P89851025101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP sv. Barbory Rožňava;2020-11-13;Košický kraj;Okres Rožňava;Rožňava;P85363027101;1;0.028571;34;35;2;0.250000;6;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;3;0.068182;41;44
AGEL Krompachy;2020-11-13;Košický kraj;Okres Spišská Nová Ves;Krompachy;P22041202101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP Revúca;2020-11-13;Banskobystrický kraj;Okres Revúca;Revúca;P88780001101;0;0.000000;13;13;0;0.000000;10;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;25;25
Psych. n. Hronovce;2020-11-13;Nitriansky kraj;Okres Levice;Hronovce;P28247005102;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
AGEL Komárno;2020-11-14;Nitriansky kraj;Okres Komárno;Komárno;P77941001101;0;0.000000;2;2;22;0.733333;8;30;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;0;0.000000;1;1;24;0.685714;11;35
AGEL Levice;2020-11-14;Nitriansky kraj;Okres Levice;Levice;P01675196101;1;0.047619;20;21;10;0.416667;14;24;0;0.000000;5;5;0;0.000000;0;0;0;0.000000;0;0;3;0.600000;2;5;14;0.254545;41;55
AGEL Levoča;2020-11-14;Prešovský kraj;Okres Levoča;Levoča;P76239015101;15;0.194805;4;77;11;0.423077;0;26;0;0.000000;0;7;0;0.000000;0;0;0;0.000000;0;0;1;0.250000;3;4;27;0.236842;7;114
AGEL Zlaté Moravce;2020-11-14;Nitriansky kraj;Okres Zlaté Moravce;Zlaté Moravce;P38629010101;2;0.500000;2;4;8;0.533333;0;15;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;10;0.500000;3;20
AGEL Zvolen, pr. Krupina;2020-11-14;Banskobystrický kraj;Okres Krupina;Krupina;P79469205101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
AGEL Zvolen, pr. Zvolen;2020-11-14;Banskobystrický kraj;Okres Zvolen;Zvolen;P79469202101;0;0.000000;0;0;21;1.000000;0;21;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;23;1.000000;0;23
DFN Košice;2020-11-14;Košický kraj;Okres Košice II;Košice - Západ;P89483331101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;1;1
DFNsP Banská Bystrica;2020-11-14;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N49813332101;0;0.000000;0;24;2;0.250000;6;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;3;0;0.000000;1;3;2;0.052632;8;38
DONsP Dolný Kubín;2020-11-14;Žilinský kraj;Okres Dolný Kubín;Dolný Kubín;P51283196101;0;0.000000;0;0;19;0.527778;17;36;0;0.000000;4;4;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;19;0.452381;23;42
FN Nitra;2020-11-14;Nitriansky kraj;Okres Nitra;Nitra;P85687002101;0;0.000000;80;80;69;0.560976;54;123;3;0.111111;24;27;2;0.250000;6;8;0;0.000000;10;10;6;0.500000;6;12;80;0.307692;180;260
FN Trenčín;2020-11-14;Trenčiansky kraj;Okres Trenčín;Trenčín;P42383002101;19;0.380000;31;50;40;0.615385;25;65;0;0.000000;0;0;0;0.000000;0;0;4;0.666667;2;6;5;0.500000;5;10;68;0.519084;63;131
FN Trnava;2020-11-14;Trnavský kraj;Okres Trnava;Trnava;P20979002101;19;0.558824;15;34;5;0.065789;71;76;0;0.000000;0;0;2;0.333333;4;6;0;0.000000;0;0;4;0.400000;6;10;30;0.238095;96;126
FNsP F.D. Roosevelta Banská Bystrica;2020-11-14;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;N42231002101;7;0.140000;43;50;19;0.542857;16;35;0;0.000000;2;2;0;0.000000;2;2;0;0.000000;0;0;8;0.800000;2;10;34;0.343434;65;99
FNSP J. A. Reimana Prešov;2020-11-14;Prešovský kraj;Okres Prešov;Prešov;N33067002101;0;0.000000;0;0;65;0.528455;58;123;3;0.214286;11;14;0;0.000000;0;0;0;0.000000;0;0;8;0.666667;4;12;76;0.510067;73;149
FNsP Nové Zámky;2020-11-14;Nitriansky kraj;Okres Nové Zámky;Nové Zámky;P81095025101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
FNsP Skalica;2020-11-14;Trnavský kraj;Okres Skalica;Skalica;P81264051101;8;0.347826;15;23;12;0.571429;9;21;0;0.000000;0;3;0;0.000000;0;0;0;0.000000;0;0;5;0.833333;1;6;25;0.471698;25;53
FNsP Žilina;2020-11-14;Žilinský kraj;Okres Žilina;Žilina;N92725025101;9;0.121622;23;74;44;0.536585;21;82;0;0.000000;0;0;0;0.000000;0;0;8;0.800000;2;10;0;0.000000;0;0;61;0.367470;46;166
HONsP Trstená;2020-11-14;Žilinský kraj;Okres Tvrdošín;Trstená;P46405010101;0;0.000000;0;0;15;0.375000;23;40;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;3;1.000000;0;3;18;0.409091;24;44
KNsP Čadca;2020-11-14;Žilinský kraj;Okres Čadca;Čadca;N21149004101;34;0.772727;10;44;25;0.694444;11;36;3;0.750000;1;4;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;63;0.732558;23;86
LNsP MUDr. I. Stodolu Liptovský Mikuláš;2020-11-14;Žilinský kraj;Okres Liptovský Mikuláš;Liptovský Mikuláš;P66051013101;0;0.000000;0;0;14;0.368421;24;38;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;0;0;2;0.666667;1;3;16;0.380952;26;42
Ľubovnianska nemocnica, Stará Ľubovňa;2020-11-14;Prešovský kraj;Okres Stará Ľubovňa;Stará Ľubovňa;N56229010101;0;0.000000;6;6;16;0.571429;12;28;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;18;0.473684;20;38
N. A. Wintera, Piešťany;2020-11-14;Trnavský kraj;Okres Piešťany;Piešťany;P93083009101;11;0.550000;9;20;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;3;3;0;0.000000;0;0;11;0.478261;12;23
N. arm. g. L. Svobodu Svidník;2020-11-14;Prešovský kraj;Okres Svidník;Svidník;P97554001101;3;0.300000;7;10;10;0.500000;10;20;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.250000;3;4;14;0.411765;20;34
Nemocnica A. Leňa Humenné;2020-11-14;Prešovský kraj;Okres Humenné;Humenné;P27233192101;15;0.555556;12;27;7;0.875000;1;8;5;0.500000;5;10;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;28;0.595745;19;47
Nemocnica Poprad;2020-11-14;Prešovský kraj;Okres Poprad;Poprad;N22001198101;0;0.000000;0;0;23;0.500000;15;46;0;0.000000;0;0;0;0.000000;0;0;2;0.500000;2;4;3;0.500000;1;6;28;0.500000;18;56
Nemocnica Snina;2020-11-14;Prešovský kraj;Okres Snina;Snina;N80847192101;16;1.000000;0;16;6;0.500000;6;12;0;0.000000;1;1;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;22;0.733333;8;30
NnoM Partizánske;2020-11-14;Trenčiansky kraj;Okres Partizánske;Partizánske;P63800205101;6;0.428571;8;14;8;0.800000;2;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;2;0.666667;0;3;16;0.592593;10;27
NRC Kováčová;2020-11-14;Banskobystrický kraj;Okres Zvolen;Kováčová;N55966027101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NsP Brezno;2020-11-14;Banskobystrický kraj;Okres Brezno;Brezno;N22399201101;16;1.000000;0;16;4;1.000000;0;4;1;1.000000;0;1;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;22;1.000000;0;22
Nsp Dunajská Streda;2020-11-14;Trnavský kraj;Okres Dunajská Streda;Dunajská Streda;P51102199101;7;0.700000;3;10;18;1.000000;0;18;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;0;0.000000;0;0;27;0.900000;3;30
NsP Ilava;2020-11-14;Trenčiansky kraj;Okres Ilava;Ilava;P87119205101;6;0.428571;8;14;2;0.333333;4;6;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;8;0.400000;12;20
NsP Myjava;2020-11-14;Trenčiansky kraj;Okres Myjava;Myjava;P82987007101;7;0.388889;11;18;5;0.227273;17;22;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;0.250000;3;4;13;0.295455;31;44
NsP Považská Bystrica;2020-11-14;Trenčiansky kraj;Okres Považská Bystrica;Považská Bystrica;P50945196101;5;0.037037;40;135;55;1.000000;0;55;0;0.000000;0;0;0;0.000000;3;3;1;0.250000;3;4;4;0.666667;2;6;65;0.320197;48;203
NsP Prievidza so s. v Bojniciach;2020-11-14;Trenčiansky kraj;Okres Prievidza;Bojnice;P51373009101;20;0.666667;10;30;23;0.920000;2;25;0;0.000000;2;2;0;0.000000;0;0;3;0.750000;1;4;0;0.000000;0;0;46;0.754098;15;61
NsP Š. Kukuru Michalovce;2020-11-14;Košický kraj;Okres Michalovce;Michalovce;P66599002101;2;0.166667;10;12;19;0.463415;22;41;3;0.750000;1;4;0;0.000000;0;0;0;0.000000;0;0;4;0.500000;0;8;28;0.430769;33;65
NsP Spišská Nová Ves;2020-11-14;Košický kraj;Okres Spišská Nová Ves;Spišská Nová Ves;P36605013101;2;0.052632;11;38;22;0.916667;2;24;0;0.000000;0;1;0;0.000000;0;1;2;1.000000;0;2;0;0.000000;0;0;26;0.393939;13;66
NsP sv. Jakuba Bardejov;2020-11-14;Prešovský kraj;Okres Bardejov;Bardejov;N84209025101;1;0.250000;3;4;20;0.500000;20;40;1;0.250000;3;4;3;1.000000;0;3;0;0.000000;0;0;3;0.750000;1;4;28;0.509091;27;55
NsP sv. Lukáša Galanta;2020-11-14;Trnavský kraj;Okres Galanta;Galanta;P80747196101;0;0.000000;0;23;10;0.555556;7;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;3;1.000000;0;3;13;0.295455;7;44
NsP Trebišov;2020-11-14;Košický kraj;Okres Trebišov;Trebišov;P81577014101;10;0.285714;25;35;9;0.900000;1;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;19;0.413043;27;46
NÚDCH Bratislava;2020-11-14;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P43059323101;0;0.000000;0;0;0;0.000000;24;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;10;10;0;0.000000;34;34
NÚSCH Bratislava;2020-11-14;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P70249278103;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NÚTPCHaHCH Vyšné Hágy;2020-11-14;Prešovský kraj;Okres Poprad;Vysoké Tatry;N92999012101;0;0.000000;0;0;20;0.714286;8;28;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;1;1.000000;0;1;22;0.709677;9;31
OÚ sv. Alžbety Bratislava;2020-11-14;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P31683229101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. P. Pinela Pezinok;2020-11-14;Bratislavský kraj;Okres Pezinok;Pezinok;P56642005101;0;0.000000;45;45;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;45;45
Psych. n. prof. Matulaya Kremnica;2020-11-14;Banskobystrický kraj;Okres Žiar nad Hronom;Kremnica;N27005105102;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. Veľké Zálužie;2020-11-14;Nitriansky kraj;Okres Nitra;Veľké Zálužie;P19393005101;83;1.000000;0;83;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;83;1.000000;0;83
SÚSÚSCCH Banská Bystrica;2020-11-14;Banskobystrický kraj;Okres Banská Bystrica;Banská Bystrica;P35968069101;0;0.000000;0;0;2;0.153846;11;13;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;0;0.000000;13;13;2;0.071429;26;28
Svet zdravia Rimavská Sobota;2020-11-14;Banskobystrický kraj;Okres Rimavská Sobota;Rimavská Sobota;P83216196102;0;0.000000;12;12;17;0.708333;7;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;2;2;17;0.447368;21;38
Svet zdravia Topoľčany;2020-11-14;Nitriansky kraj;Okres Topoľčany;Topoľčany;P59688205101;0;0.000000;14;14;9;0.750000;3;12;2;1.000000;0;2;0;0.000000;0;0;0;0.000000;0;0;2;1.000000;0;2;13;0.433333;17;30
Svet zdravia Žiar nad Hronom;2020-11-14;Banskobystrický kraj;Okres Žiar nad Hronom;Žiar nad Hronom;P83216007101;0;0.000000;0;0;9;0.500000;9;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;10;0.526316;9;19
UN L. Pasteura Košice;2020-11-14;Košický kraj;Okres Košice IV;Košice - Juh;P77017002101;0;0.000000;3;3;48;0.452830;58;106;2;0.222222;7;9;2;0.200000;8;10;0;0.000000;2;2;0;0.000000;17;17;52;0.353741;95;147
UN Martin;2020-11-14;Žilinský kraj;Okres Martin;Martin;P38811002101;0;0.000000;11;25;56;0.538462;29;104;0;0.000000;0;0;6;0.300000;8;20;8;0.666667;4;12;0;0.000000;1;1;70;0.432099;53;162
UNB - akad. L. Dérera;2020-11-14;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P40707002101;0;0.000000;12;12;43;0.417476;16;103;0;0.000000;0;0;6;0.400000;0;15;0;0.000000;0;0;4;0.800000;1;5;53;0.392593;29;135
UNB - Ružinov;2020-11-14;Bratislavský kraj;Okres Bratislava II;Bratislava - Ružinov;P40707025101;0;0.000000;0;0;18;0.439024;3;41;5;0.500000;0;10;2;0.400000;0;5;0;0.000000;0;0;5;0.312500;0;16;30;0.416667;3;72
