nazov;datum;kraj;okres;obec;kod_pzs;non-O2_obs;non-O2_rel-obs;non-O2_volne;non-O2_max;O2_obs;O2_rel-obs;O2_volne;O2_max;JIS1_obs;JIS1_rel-obs;JIS1_volne;JIS1_max;JIS2_obs;JIS2_rel-obs;JIS2_volne;JIS2_max;JIS3_obs;JIS3_rel-obs;JIS3_volne;JIS3_max;OAIM_obs;OAIM_rel-obs;OAIM_volne;OAIM_max;spolu_obs;spolu_rel-obs;spolu_volne;spolu_max
NsP sv. Barbory Rož§ava;2020-11-10;Košický kraj;Okres Rožňava;Rožňava;P85363027101;4;0.114286;31;35;4;0.500000;4;8;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;1;1.000000;0;1;9;0.204545;35;44
NsP sv. Jakuba Bardejov;2020-11-10;Prešovský kraj;Okres Bardejov;Bardejov;N84209025101;4;1.000000;0;4;20;0.500000;20;40;2;0.500000;2;4;2;0.666667;1;3;0;0.000000;0;0;3;0.750000;1;4;31;0.563636;24;55
NsP sv. Lukáša Galanta;2020-11-10;Trnavský kraj;Okres Galanta;Galanta;P80747196101;0;0.000000;0;23;11;0.611111;6;18;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;3;3;11;0.250000;9;44
NsP Trebišov;2020-11-10;Košický kraj;Okres Trebišov;Trebišov;P81577014101;9;0.257143;26;35;7;0.700000;3;10;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;1;1;0;0.000000;0;0;16;0.347826;30;46
NÚDCH Bratislava;2020-11-10;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P43059323101;0;0.000000;0;0;0;0.000000;24;24;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;10;10;0;0.000000;34;34
NÚSCH Bratislava;2020-11-10;Bratislavský kraj;Okres Bratislava III;Bratislava - Nové Mesto;P70249278103;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
NÚTPCHaHCH Vyšné Hágy;2020-11-10;Prešovský kraj;Okres Poprad;Vysoké Tatry;N92999012101;0;0.000000;0;0;17;0.607143;11;28;0;0.000000;0;0;0;0.000000;0;0;1;0.500000;1;2;1;1.000000;0;1;19;0.612903;12;31
OÚ sv. Alžbety Bratislava;2020-11-10;Bratislavský kraj;Okres Bratislava I;Bratislava - Staré Mesto;P31683229101;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
Psych. n. P. Pinela Pezinok;2020-11-10;Bratislavský kraj;Okres Pezinok;Pezinok;P56642005101;0;0.000000;45;45;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;45;45
Psych. n. prof. Matulaya Kremnica;2020-11-10;Banskobystrický kraj;Okres Žiar nad Hronom;Kremnica;N27005105102;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0;0;0.000000;0;0
