"Date";"District";"PCR_Pos";"PCR_Neg";"PCR_Total"
2021-01-16;"Okres Malacky";8;17;25
2021-01-16;"Okres Medzilaborce";2;8;10
2021-01-16;"Okres Michalovce";24;104;128
2021-01-16;"Okres Myjava";0;1;1
2021-01-16;"Okres Námestovo";0;2;2
2021-01-16;"Okres Nitra";1;13;14
2021-01-16;"Okres Nové Mesto nad Váhom";20;60;80
2021-01-16;"Okres Nové Zámky";45;44;89
2021-01-16;"Okres Partizánske";8;26;34
2021-01-16;"Okres Pezinok";3;24;27
2021-01-16;"Okres Piešťany";2;4;6
2021-01-16;"Okres Poltár";1;4;5
2021-01-16;"Okres Poprad";15;113;128
2021-01-16;"Okres Považská Bystrica";0;1;1
2021-01-16;"Okres Prešov";1;42;43
2021-01-16;"Okres Prievidza";8;15;23
2021-01-16;"Okres Púchov";0;2;2
2021-01-16;"Okres Revúca";2;10;12
2021-01-16;"Okres Rimavská Sobota";42;61;103
2021-01-16;"Okres Rožňava";17;38;55
2021-01-16;"Okres Ružomberok";0;4;4
2021-01-16;"Okres Sabinov";0;29;29
2021-01-16;"Okres Senec";16;31;47
2021-01-16;"Okres Senica";0;4;4
2021-01-16;"Okres Skalica";1;0;1
2021-01-16;"Okres Snina";1;15;16
2021-01-16;"Okres Sobrance";5;21;26
2021-01-16;"Okres Spišská Nová Ves";18;37;55
2021-01-16;"Okres Stará Ľubovňa";0;10;10
2021-01-16;"Okres Stropkov";1;9;10
2021-01-16;"Okres Svidník";3;37;40
2021-01-16;"Okres Šaľa";22;47;69
2021-01-16;"Okres Topoľčany";9;20;29
2021-01-16;"Okres Trebišov";11;40;51
2021-01-16;"Okres Trenčín";2;33;35
2021-01-16;"Okres Trnava";0;5;5
2021-01-16;"Okres Tvrdošín";1;1;2
2021-01-16;"Okres Veľký Krtíš";1;3;4
2021-01-16;"Okres Vranov nad Topľou";25;79;104
2021-01-16;"Okres Zlaté Moravce";2;1;3
2021-01-16;"Okres Zvolen";2;13;15
2021-01-16;"Okres Žarnovica";0;3;3
2021-01-16;"Okres Žiar nad Hronom";0;2;2
2021-01-16;"Okres Žilina";0;1;1
2021-01-16;NA;32;166;198
2021-01-15;"Neznáme";270;1030;1300
2021-01-15;"Okres Bánovce nad Bebravou";9;42;51
2021-01-15;"Okres Banská Bystrica";58;274;332
2021-01-15;"Okres Banská Štiavnica";6;19;25
2021-01-15;"Okres Bardejov";9;67;76
2021-01-15;"Okres Bratislava I";20;169;189
2021-01-15;"Okres Bratislava II";49;265;314
2021-01-15;"Okres Bratislava III";26;205;231
