"";"datum";"district";"region";"covid";"pocet"
"158";2021-06-29;"ZC";"BB";"non_covid";8
"159";2021-06-29;"ZH";"BB";"non_covid";7
"160";2021-06-29;"ZM";"NR";"non_covid";8
"161";2021-06-29;"ZV";"BB";"non_covid";16
"162";2021-06-29;NA;"BA";"non_covid";20
"163";2021-06-29;NA;"BB";"non_covid";25
"164";2021-06-29;NA;"KE";"non_covid";16
"165";2021-06-29;NA;"NR";"non_covid";23
"166";2021-06-29;NA;"PO";"covid";1
"167";2021-06-29;NA;"PO";"non_covid";20
"168";2021-06-29;NA;"TN";"non_covid";15
"169";2021-06-29;NA;"TT";"non_covid";14
"170";2021-06-29;NA;"ZA";"non_covid";32
"171";2021-06-30;"BA";"BA";"non_covid";107
"172";2021-06-30;"BB";"BB";"non_covid";28
"173";2021-06-30;"BJ";"PO";"non_covid";18
"174";2021-06-30;"BN";"TN";"non_covid";9
"175";2021-06-30;"BR";"BB";"non_covid";20
"176";2021-06-30;"BS";"BB";"non_covid";5
"177";2021-06-30;"BY";"ZA";"non_covid";4
"178";2021-06-30;"CA";"ZA";"covid";1
"179";2021-06-30;"CA";"ZA";"non_covid";18
"180";2021-06-30;"DK";"ZA";"non_covid";6
"181";2021-06-30;"DS";"TT";"non_covid";30
"182";2021-06-30;"DT";"BB";"non_covid";10
"183";2021-06-30;"GA";"TT";"non_covid";30
"184";2021-06-30;"GL";"KE";"non_covid";13
"185";2021-06-30;"HC";"TT";"non_covid";15
"186";2021-06-30;"HE";"PO";"non_covid";18
"187";2021-06-30;"IL";"TN";"non_covid";9
"188";2021-06-30;"KA";"BB";"non_covid";1
"189";2021-06-30;"KE";"KE";"non_covid";67
"190";2021-06-30;"KK";"PO";"non_covid";19
"191";2021-06-30;"KM";"ZA";"non_covid";9
"192";2021-06-30;"KN";"NR";"non_covid";16
"193";2021-06-30;"KS";"KE";"covid";1
"194";2021-06-30;"KS";"KE";"non_covid";38
"195";2021-06-30;"LC";"BB";"non_covid";28
"196";2021-06-30;"LE";"PO";"non_covid";11
"197";2021-06-30;"LM";"ZA";"non_covid";17
"198";2021-06-30;"LV";"NR";"non_covid";24
"199";2021-06-30;"MA";"BA";"non_covid";12
"200";2021-06-30;"MI";"KE";"non_covid";55
"201";2021-06-30;"ML";"PO";"non_covid";7
"202";2021-06-30;"MT";"ZA";"non_covid";32
"203";2021-06-30;"MY";"TN";"non_covid";5
"204";2021-06-30;"NM";"TN";"non_covid";14
"205";2021-06-30;"NO";"ZA";"non_covid";10
"206";2021-06-30;"NR";"NR";"non_covid";46
"207";2021-06-30;"NZ";"NR";"non_covid";22
"208";2021-06-30;"PB";"TN";"non_covid";21
"209";2021-06-30;"PD";"TN";"non_covid";37
