"";"Date";"Vaccinated";"age_group";"Admissions";"Discharges"
"2299";2021-01-11;NA;40;3;7
"2300";2021-01-11;NA;50;3;11
"2301";2021-01-11;NA;60;5;9
"2302";2021-01-11;NA;70;7;4
"2303";2021-01-11;NA;80;2;2
"2304";2021-01-11;NA;NA;3;0
"2305";2021-01-10;NA;20;0;1
"2306";2021-01-10;NA;30;0;1
"2307";2021-01-10;NA;40;2;3
"2308";2021-01-10;NA;50;4;5
"2309";2021-01-10;NA;60;9;6
"2310";2021-01-10;NA;70;3;7
"2311";2021-01-10;NA;80;0;2
"2312";2021-01-09;NA;20;1;0
"2313";2021-01-09;NA;30;2;0
"2314";2021-01-09;NA;40;2;1
"2315";2021-01-09;NA;50;11;2
"2316";2021-01-09;NA;60;9;14
"2317";2021-01-09;NA;70;6;9
"2318";2021-01-09;NA;80;4;1
"2319";2021-01-08;NA;20;1;0
"2320";2021-01-08;NA;30;3;0
"2321";2021-01-08;NA;40;1;0
"2322";2021-01-08;NA;50;8;5
"2323";2021-01-08;NA;60;8;8
"2324";2021-01-08;NA;70;7;3
"2325";2021-01-08;NA;80;1;2
"2326";2021-01-07;NA;30;1;0
"2327";2021-01-07;NA;40;4;3
"2328";2021-01-07;NA;50;3;3
"2329";2021-01-07;NA;60;11;11
"2330";2021-01-07;NA;70;4;8
"2331";2021-01-07;NA;80;2;1
"2332";2021-01-07;NA;90;1;0
"2333";2021-01-06;NA;40;4;3
"2334";2021-01-06;NA;50;13;11
"2335";2021-01-06;NA;60;13;8
"2336";2021-01-06;NA;70;7;6
"2337";2021-01-06;NA;80;1;2
"2338";2021-01-05;NA;20;1;0
"2339";2021-01-05;NA;30;1;2
"2340";2021-01-05;NA;40;4;1
"2341";2021-01-05;NA;50;7;3
"2342";2021-01-05;NA;60;7;7
"2343";2021-01-05;NA;70;6;3
"2344";2021-01-05;NA;80;1;1
"2345";2021-01-04;NA;30;1;0
"2346";2021-01-04;NA;40;5;2
"2347";2021-01-04;NA;50;4;1
"2348";2021-01-04;NA;60;6;4
"2349";2021-01-04;NA;70;8;14
"2350";2021-01-04;NA;80;0;1
"2351";2021-01-03;NA;20;0;1
"2352";2021-01-03;NA;40;1;3
"2353";2021-01-03;NA;50;7;1
"2354";2021-01-03;NA;60;4;4
"2355";2021-01-03;NA;70;4;9
"2356";2021-01-03;NA;80;0;2
"2357";2021-01-02;NA;40;1;0
"2358";2021-01-02;NA;50;6;2
"2359";2021-01-02;NA;60;7;8
"2360";2021-01-02;NA;70;3;3
"2361";2021-01-02;NA;80;5;2
"2362";2021-01-01;NA;20;1;0
"2363";2021-01-01;NA;30;2;1
"2364";2021-01-01;NA;40;4;1
"2365";2021-01-01;NA;50;9;1
"2366";2021-01-01;NA;60;13;10
"2367";2021-01-01;NA;70;12;4
"2368";2021-01-01;NA;80;3;3
"2369";2021-01-01;NA;90;1;1
"2370";2020-12-31;NA;10;1;1
"2371";2020-12-31;NA;30;1;1
"2372";2020-12-31;NA;40;3;1
"2373";2020-12-31;NA;50;3;2
"2374";2020-12-31;NA;60;11;8
"2375";2020-12-31;NA;70;8;11
"2376";2020-12-31;NA;80;3;1
"2377";2020-12-30;NA;30;1;0
"2378";2020-12-30;NA;40;3;3
"2379";2020-12-30;NA;50;4;2
"2380";2020-12-30;NA;60;9;8
"2381";2020-12-30;NA;70;6;7
"2382";2020-12-30;NA;80;1;2
"2383";2020-12-29;NA;20;1;0
"2384";2020-12-29;NA;30;0;1
"2385";2020-12-29;NA;40;1;0
"2386";2020-12-29;NA;50;1;3
"2387";2020-12-29;NA;60;17;9
"2388";2020-12-29;NA;70;3;8
"2389";2020-12-29;NA;80;1;3
"2390";2020-12-29;NA;990;0;1
"2391";2020-12-28;NA;20;1;0
"2392";2020-12-28;NA;40;5;1
"2393";2020-12-28;NA;50;3;5
"2394";2020-12-28;NA;60;6;10
"2395";2020-12-28;NA;70;5;4
"2396";2020-12-28;NA;80;2;5
"2397";2020-12-27;NA;40;4;3
"2398";2020-12-27;NA;50;1;3
"2399";2020-12-27;NA;60;6;5
"2400";2020-12-27;NA;70;4;8
"2401";2020-12-27;NA;80;3;2
"2402";2020-12-26;NA;40;0;1
"2403";2020-12-26;NA;50;0;1
"2404";2020-12-26;NA;60;6;2
"2405";2020-12-26;NA;70;5;1
"2406";2020-12-26;NA;80;1;2
"2407";2020-12-26;NA;NA;1;0
"2408";2020-12-25;NA;50;3;1
"2409";2020-12-25;NA;60;5;2
"2410";2020-12-25;NA;70;8;6
"2411";2020-12-25;NA;80;1;0
"2412";2020-12-24;NA;30;1;0
"2413";2020-12-24;NA;50;2;0
"2414";2020-12-24;NA;60;10;3
"2415";2020-12-24;NA;70;9;4
"2416";2020-12-24;NA;80;3;1
"2417";2020-12-23;NA;40;1;2
"2418";2020-12-23;NA;50;3;1
"2419";2020-12-23;NA;60;8;9
"2420";2020-12-23;NA;70;10;4
"2421";2020-12-23;NA;80;1;2
"2422";2020-12-22;NA;40;4;1
"2423";2020-12-22;NA;50;1;4
"2424";2020-12-22;NA;60;10;9
"2425";2020-12-22;NA;70;9;6
"2426";2020-12-22;NA;80;0;4
"2427";2020-12-22;NA;90;0;1
"2428";2020-12-21;NA;40;0;1
"2429";2020-12-21;NA;50;2;2
"2430";2020-12-21;NA;60;5;7
"2431";2020-12-21;NA;70;3;6
"2432";2020-12-21;NA;80;6;3
"2433";2020-12-20;NA;40;0;1
"2434";2020-12-20;NA;50;1;1
"2435";2020-12-20;NA;60;2;4
"2436";2020-12-20;NA;70;8;4
"2437";2020-12-20;NA;80;0;2
"2438";2020-12-19;NA;30;0;1
"2439";2020-12-19;NA;40;2;0
"2440";2020-12-19;NA;50;1;1
"2441";2020-12-19;NA;60;7;5
"2442";2020-12-19;NA;70;7;4
"2443";2020-12-19;NA;80;4;2
"2444";2020-12-18;NA;30;1;1
"2445";2020-12-18;NA;40;1;0
"2446";2020-12-18;NA;50;2;1
"2447";2020-12-18;NA;60;5;5
"2448";2020-12-18;NA;70;5;4
"2449";2020-12-18;NA;80;2;1
"2450";2020-12-17;NA;40;1;0
"2451";2020-12-17;NA;50;1;3
"2452";2020-12-17;NA;60;11;5
"2453";2020-12-17;NA;70;11;5
"2454";2020-12-17;NA;80;2;0
"2455";2020-12-16;NA;40;0;1
"2456";2020-12-16;NA;50;4;5
"2457";2020-12-16;NA;60;9;2
"2458";2020-12-16;NA;70;5;8
"2459";2020-12-16;NA;80;6;4
"2460";2020-12-15;NA;30;0;1
"2461";2020-12-15;NA;50;3;3
"2462";2020-12-15;NA;60;3;8
"2463";2020-12-15;NA;70;4;7
"2464";2020-12-15;NA;80;1;0
"2465";2020-12-15;NA;90;0;1
"2466";2020-12-14;NA;40;1;2
"2467";2020-12-14;NA;50;0;4
"2468";2020-12-14;NA;60;1;4
"2469";2020-12-14;NA;70;3;6
"2470";2020-12-14;NA;80;1;2
"2471";2020-12-13;NA;30;0;1
"2472";2020-12-13;NA;40;3;1
"2473";2020-12-13;NA;50;2;2
"2474";2020-12-13;NA;60;7;3
"2475";2020-12-13;NA;70;3;2
"2476";2020-12-13;NA;80;1;0
"2477";2020-12-12;NA;30;1;0
"2478";2020-12-12;NA;40;1;0
"2479";2020-12-12;NA;50;1;1
"2480";2020-12-12;NA;60;3;4
"2481";2020-12-12;NA;70;13;5
"2482";2020-12-12;NA;80;3;1
"2483";2020-12-11;NA;40;1;0
"2484";2020-12-11;NA;50;5;2
"2485";2020-12-11;NA;60;7;6
"2486";2020-12-11;NA;70;4;5
"2487";2020-12-11;NA;80;1;1
"2488";2020-12-10;NA;30;1;0
"2489";2020-12-10;NA;40;1;0
"2490";2020-12-10;NA;50;4;4
"2491";2020-12-10;NA;60;4;4
"2492";2020-12-10;NA;70;5;4
"2493";2020-12-10;NA;80;0;2
"2494";2020-12-09;NA;30;1;0
"2495";2020-12-09;NA;40;0;2
"2496";2020-12-09;NA;50;6;1
"2497";2020-12-09;NA;60;2;8
"2498";2020-12-09;NA;70;3;2
"2499";2020-12-09;NA;80;0;1
"2500";2020-12-08;NA;30;0;1
"2501";2020-12-08;NA;40;1;0
"2502";2020-12-08;NA;50;3;4
"2503";2020-12-08;NA;60;8;3
"2504";2020-12-08;NA;70;1;6
"2505";2020-12-08;NA;80;1;3
"2506";2020-12-08;NA;990;0;1
"2507";2020-12-07;NA;30;1;0
"2508";2020-12-07;NA;40;0;1
"2509";2020-12-07;NA;50;3;1
"2510";2020-12-07;NA;60;5;4
"2511";2020-12-07;NA;70;4;3
"2512";2020-12-07;NA;80;2;1
"2513";2020-12-06;NA;40;0;2
"2514";2020-12-06;NA;50;1;2
"2515";2020-12-06;NA;60;3;6
"2516";2020-12-06;NA;70;1;3
"2517";2020-12-06;NA;80;0;3
"2518";2020-12-06;NA;90;1;1
"2519";2020-12-06;NA;NA;1;0
"2520";2020-12-05;NA;30;1;0
"2521";2020-12-05;NA;50;3;0
"2522";2020-12-05;NA;60;7;4
"2523";2020-12-05;NA;70;3;6
"2524";2020-12-05;NA;80;3;4
"2525";2020-12-05;NA;90;1;0
"2526";2020-12-04;NA;40;1;1
"2527";2020-12-04;NA;50;3;2
"2528";2020-12-04;NA;60;5;3
"2529";2020-12-04;NA;70;7;5
"2530";2020-12-04;NA;80;3;4
"2531";2020-12-04;NA;990;0;1
"2532";2020-12-03;NA;50;0;1
"2533";2020-12-03;NA;60;4;7
"2534";2020-12-03;NA;70;10;7
"2535";2020-12-03;NA;80;0;3
"2536";2020-12-02;NA;30;1;0
"2537";2020-12-02;NA;40;1;0
"2538";2020-12-02;NA;50;1;1
"2539";2020-12-02;NA;60;3;2
"2540";2020-12-02;NA;70;5;4
"2541";2020-12-02;NA;80;2;1
"2542";2020-12-02;NA;90;0;1
"2543";2020-12-01;NA;40;1;0
"2544";2020-12-01;NA;50;3;1
"2545";2020-12-01;NA;60;4;7
"2546";2020-12-01;NA;70;7;8
"2547";2020-12-01;NA;80;2;3
"2548";2020-12-01;NA;NA;1;0
"2549";2020-11-30;NA;30;0;1
"2550";2020-11-30;NA;40;1;0
"2551";2020-11-30;NA;60;0;6
"2552";2020-11-30;NA;70;4;0
"2553";2020-11-30;NA;80;1;0
"2554";2020-11-29;NA;40;0;2
"2555";2020-11-29;NA;60;6;3
"2556";2020-11-29;NA;70;4;4
"2557";2020-11-29;NA;80;2;2
"2558";2020-11-28;NA;40;0;1
"2559";2020-11-28;NA;50;3;0
"2560";2020-11-28;NA;60;5;6
"2561";2020-11-28;NA;70;9;2
"2562";2020-11-28;NA;80;5;3
"2563";2020-11-27;NA;40;0;1
"2564";2020-11-27;NA;50;2;1
"2565";2020-11-27;NA;60;6;1
"2566";2020-11-27;NA;70;1;3
"2567";2020-11-27;NA;80;3;5
"2568";2020-11-26;NA;30;1;2
"2569";2020-11-26;NA;40;1;0
"2570";2020-11-26;NA;50;2;4
"2571";2020-11-26;NA;60;3;7
"2572";2020-11-26;NA;70;7;5
"2573";2020-11-26;NA;80;9;4
"2574";2020-11-26;NA;90;1;3
"2575";2020-11-25;NA;40;1;0
"2576";2020-11-25;NA;50;4;3
"2577";2020-11-25;NA;60;5;4
"2578";2020-11-25;NA;70;3;2
"2579";2020-11-25;NA;80;2;3
"2580";2020-11-25;NA;90;1;1
"2581";2020-11-24;NA;10;0;1
"2582";2020-11-24;NA;40;2;1
"2583";2020-11-24;NA;50;3;4
"2584";2020-11-24;NA;60;5;4
"2585";2020-11-24;NA;70;3;5
"2586";2020-11-24;NA;80;3;2
"2587";2020-11-23;NA;40;1;0
"2588";2020-11-23;NA;50;1;0
"2589";2020-11-23;NA;60;5;5
"2590";2020-11-23;NA;70;3;6
"2591";2020-11-23;NA;80;2;1
"2592";2020-11-22;NA;50;1;2
"2593";2020-11-22;NA;60;4;0
"2594";2020-11-22;NA;70;3;6
"2595";2020-11-22;NA;80;1;1
"2596";2020-11-21;NA;60;7;4
"2597";2020-11-21;NA;70;4;1
"2598";2020-11-21;NA;80;1;1
"2599";2020-11-20;NA;50;1;2
"2600";2020-11-20;NA;60;5;3
"2601";2020-11-20;NA;70;5;4
"2602";2020-11-20;NA;80;1;0
"2603";2020-11-20;NA;90;3;0
"2604";2020-11-19;NA;50;1;1
"2605";2020-11-19;NA;60;3;2
"2606";2020-11-19;NA;70;2;4
"2607";2020-11-19;NA;80;1;0
"2608";2020-11-18;NA;30;0;1
"2609";2020-11-18;NA;40;1;0
"2610";2020-11-18;NA;50;2;4
"2611";2020-11-18;NA;60;3;2
"2612";2020-11-18;NA;70;1;9
"2613";2020-11-18;NA;80;1;0
"2614";2020-11-18;NA;990;0;1
"2615";2020-11-17;NA;30;1;0
"2616";2020-11-17;NA;50;2;0
"2617";2020-11-17;NA;60;1;0
"2618";2020-11-17;NA;70;3;5
"2619";2020-11-17;NA;80;1;1
"2620";2020-11-16;NA;50;0;1
"2621";2020-11-16;NA;60;3;6
"2622";2020-11-16;NA;70;1;1
"2623";2020-11-16;NA;80;3;1
"2624";2020-11-16;NA;90;0;1
"2625";2020-11-15;NA;30;1;0
"2626";2020-11-15;NA;50;1;0
"2627";2020-11-15;NA;60;2;4
"2628";2020-11-15;NA;70;2;7
"2629";2020-11-15;NA;80;1;1
"2630";2020-11-14;NA;20;0;1
"2631";2020-11-14;NA;30;1;0
"2632";2020-11-14;NA;50;4;1
"2633";2020-11-14;NA;60;8;3
